record,grupo,duracion_h,fs,n_qrs,fc_mediana_lpm,rr_mediano_s,rr_std_s,n_outliers_rango,n_outliers_malik,n_outliers_mediana,n_outliers_total,pct_outliers,qrs_sens_pct,qrs_prec_pct,qrs_tp,qrs_fp,qrs_fn,procesado_ok,error,tiempo_s
x07,test,8.472222222222221,100,32116,63.15789473684211,0.95,0.08412117106586593,3,24,12,25,0.07784524365561264,99.79465480227746,99.87233777556358,32075,41,66,True,,3.7413997650146484
x08,test,8.616666666666667,100,34701,69.76744186046511,0.86,0.061642596440710226,340,1146,1159,1437,4.141210374639769,96.7112970711297,99.91354716002421,34671,30,1179,True,,4.194498777389526
x09,test,8.463888888888889,100,37705,73.17073170731707,0.82,0.0716747811169216,1,11,2,11,0.029174623382134522,99.95491553292493,99.96021747778809,37690,15,17,True,,4.553590774536133
x10,test,8.493055555555555,100,41519,82.19178082191782,0.73,0.08244347009833036,13,326,99,334,0.8044703502095477,99.77147530730556,99.89643295840459,41476,43,95,True,,5.205320358276367
x11,test,7.601388888888889,100,30029,65.93406593406593,0.91,0.07723992821117089,31,1600,822,1618,5.388304249367257,99.02414654454621,99.0109560757934,29732,297,293,True,,3.2365517616271973
x12,test,8.947222222222223,100,38442,72.28915662650603,0.83,0.07403989063165392,124,275,205,297,0.7726125751151115,99.79125896934116,99.48753967015243,38245,197,80,True,,4.752671718597412
x13,test,8.469444444444445,100,37761,76.92307692307692,0.78,0.10358866532333036,47,779,490,819,2.16896186440678,99.902761571373,95.22788061756839,35959,1802,35,True,,4.512768745422363
x14,test,8.291666666666666,100,30243,85.71428571428572,0.7,0.12488303712484161,1512,3370,3384,4099,13.553997751471464,76.3960689972872,98.70383229177,29851,392,9223,True,,4.043208122253418
x15,test,8.666666666666666,100,32227,62.5,0.96,0.06869431401505008,56,451,291,508,1.576366908707255,99.76886247317154,93.75678778663853,30215,2012,70,True,,3.5152268409729004
x16,test,8.580555555555556,100,34610,67.41573033707866,0.89,0.06690608421575764,5,68,30,71,0.205148949695166,99.82676483326115,99.89887315804681,34575,35,60,True,,4.032732963562012
x17,test,6.75,100,8438,48.0,1.25,0.18092064168783023,158,361,269,406,4.812137015526846,42.10714833955892,97.52310974164494,8229,209,11314,True,,1.153792142868042
x18,test,7.647222222222222,100,25102,55.55555555555555,1.08,0.11197955004931011,91,275,191,313,1.2469622724194256,99.75189083196607,99.30284439486894,24927,175,62,True,,2.609147548675537
x19,test,8.177777777777777,100,31070,65.93406593406593,0.91,0.18468061484972337,58,1014,378,1047,3.3699185683478707,99.4840074354208,99.90666237528161,31041,29,161,True,,3.573995351791382
x20,test,8.540277777777778,100,38970,78.94736842105263,0.76,0.07656196619396033,245,1392,827,1502,3.8543457620159614,98.31492277794824,98.66307415960995,38449,521,659,True,,4.765010833740234
x21,test,8.493055555555555,100,33008,63.829787234042556,0.94,0.07314037922989162,27,104,61,117,0.3544702638834187,99.76677974315483,99.79095976732914,32939,69,77,True,,3.756179094314575
x22,test,8.019444444444444,100,29206,61.855670103092784,0.97,0.1042111076367362,33,502,104,513,1.7565485362095532,99.8727253964432,99.41107991508595,29034,172,37,True,,3.279059410095215
x23,test,8.877777777777778,100,38282,70.58823529411765,0.85,0.08330217398129958,2,24,14,26,0.06791881089835689,99.95821035860736,99.97126586907686,38271,11,16,True,,4.709794998168945
x24,test,7.141666666666667,100,21916,52.173913043478265,1.15,0.10373704181170197,34,181,93,192,0.8761122518822724,99.8035542966787,99.68059864938857,21846,70,43,True,,2.198957920074463
x25,test,8.48611111111111,100,36375,71.42857142857143,0.84,0.05715573185112131,66,265,194,289,0.7945235607851763,99.85868329698012,89.36082474226804,32505,3870,46,True,,4.0994532108306885
x26,test,8.66388888888889,100,32442,62.01550387596899,0.9675,0.0826489816630663,86,1230,856,1283,3.954871921334114,99.8855552118775,99.54071882128106,32293,149,37,True,,3.736921548843384
x27,test,8.293055555555556,100,39977,78.94736842105263,0.76,0.07152277773318821,2,169,26,169,0.4227536521913148,99.90498574786217,99.9474697951322,39956,21,38,True,,4.961851358413696
x28,test,8.25,100,37357,77.92207792207792,0.77,0.0858194735695777,101,640,405,717,1.9193703822679087,98.85289431757833,99.65468319190514,37228,129,432,True,,4.5312721729278564
x29,test,7.836111111111111,100,31157,66.66666666666667,0.9,0.13874790302768078,490,18186,12433,18560,59.571190139940946,98.61020488059506,97.01190743653112,30226,931,426,True,,3.4748053550720215
x30,test,8.901388888888889,100,36480,71.42857142857143,0.84,0.09748013315611782,100,350,202,372,1.0197647961841059,99.66237544947984,99.52850877192982,36308,172,123,True,,4.45803165435791
x31,test,9.283333333333333,100,34202,59.40594059405941,1.01,0.16957373071136467,46,1569,192,1585,4.634367416157422,99.85660355272014,99.76609554996784,34122,80,49,True,,4.14212965965271
x32,test,8.966666666666667,100,33661,63.15789473684211,0.95,0.15576349527190145,82,1599,398,1652,4.907902554961378,98.53156691482502,99.86928492914649,33617,44,501,True,,4.185450077056885
x33,test,7.872222222222222,100,31655,72.28915662650603,0.83,0.07338582073435687,645,2370,2103,2874,9.079421242181082,92.64123838283152,99.82309271836992,31599,56,2510,True,,3.921419382095337
x34,test,7.902777777777778,100,31755,72.28915662650603,0.83,0.07362115909073676,660,2406,2138,2914,9.176796624047364,92.54642064696952,99.82364981892616,31699,56,2553,True,,3.8309853076934814
x35,test,8.036111111111111,100,29225,61.855670103092784,0.97,0.10445593317125665,33,504,105,515,1.7622502053107034,99.86592409240924,99.39777587681779,29049,176,39,True,,3.2599289417266846
